ticker,start,end,missed_seeds,n_missed_seeds,days,mean_score_ratio,max_score
LW,2024-11-15,2024-11-15,"0,2",2,1,0.05494574277870067,0.0001121157956731
FDX,2024-06-26,2024-06-26,"1,2",2,1,0.07108609342522842,0.0003874426913474
UNH,2024-04-16,2024-04-16,"1,2",2,1,0.07824749653108877,0.0002759267939836
PM,2024-04-23,2024-04-23,"0,1",2,1,0.07835152226865943,0.0001748290240357
TSLA,2024-10-24,2024-10-24,"1,2",2,1,0.08485145282886457,0.0004732183280931
CVX,2023-01-26,2023-01-26,"0,2",2,1,0.08897749759590942,0.0003622497811995
LLY,2023-08-08,2023-08-08,"1,2",2,1,0.09791474354691818,0.0005460202415482
CVX,2023-05-02,2023-05-02,"0,2",2,1,0.10209293940730384,0.0002368072743593
TMUS,2024-03-07,2024-03-07,"0,2",2,1,0.17442926301464584,0.000374599684316
COF,2024-11-06,2024-11-06,"1,2",2,1,0.18334141547587018,0.0010000857943707
PM,2024-08-05,2024-08-05,"0,1",2,1,0.20462053628694685,0.0005383521989794
JPM,2023-10-27,2023-10-27,"0,2",2,1,0.21540795397331486,0.0004429050487184
ISRG,2023-10-11,2023-10-11,"0,1",2,1,0.23548328436853447,0.0008906705121868
ALGN,2023-09-07,2023-09-07,"0,1",2,1,0.24188555312610555,0.0007306403766657
INTC,2024-04-03,2024-04-03,"0,2",2,1,0.2603401020594151,0.0006048510485319
GE,2024-07-23,2024-07-24,"0,1",2,2,0.2607020001587105,0.0005280968192285
ABT,2023-10-18,2023-10-18,"1,2",2,1,0.27684862221263196,0.0008032326471645
PHM,2024-01-23,2024-01-23,"0,2",2,1,0.27968578500564634,0.0006009858997761
A,2024-09-26,2024-09-26,"0,1",2,1,0.2848797381819043,0.0006168407203707
AVGO,2023-03-03,2023-03-03,"0,1",2,1,0.2932785325597737,0.0006238364904198
ALLE,2023-12-14,2023-12-14,"0,1",2,1,0.3018353605964129,0.0009342692583838
PG,2024-04-03,2024-04-03,"0,2",2,1,0.30485383324891496,0.0012275193531119
MO,2024-08-05,2024-08-05,"0,2",2,1,0.3191001680613952,0.0008784431924141
CVS,2023-02-08,2023-02-08,"0,1",2,1,0.3222407455130568,0.0008515329503167
PG,2024-11-06,2024-11-06,"0,2",2,1,0.34199469427418905,0.0007668461539172
MO,2023-02-01,2023-02-01,"1,2",2,1,0.3498868783341041,0.0015374480705456
ABNB,2023-10-03,2023-10-03,"0,2",2,1,0.35810279219049934,0.0017210627622262
ROST,2024-11-25,2024-11-25,"0,1",2,1,0.37016741885926685,0.0011745510925538
CSCO,2023-04-19,2023-04-19,"0,2",2,1,0.38292933256570766,0.001107411667787
MSFT,2023-10-26,2023-10-26,"1,2",2,1,0.39796141532723744,0.0013198912648173
TMO,2023-04-25,2023-04-25,"1,2",2,1,0.4008243919776089,0.0012114500183088
INTU,2023-10-25,2023-10-25,"0,2",2,1,0.41889456268245123,0.0017094050582575
MCD,2024-02-05,2024-02-05,"0,1",2,1,0.42570592438783694,0.0008934158984629
ABT,2023-07-20,2023-07-20,"0,1",2,1,0.4350350899056291,0.0017792159511676
APTV,2023-12-14,2023-12-14,"0,1",2,1,0.4611632681691642,0.0011816193967812
GE,2024-09-03,2024-09-03,"0,2",2,1,0.46598008697955967,0.0023759212241808
COP,2024-10-31,2024-10-31,"1,2",2,1,0.5005435705228767,0.0021644840216183
C,2024-11-06,2024-11-06,"1,2",2,1,0.5149662937608968,0.0020803015987008
GS,2024-08-02,2024-08-02,"0,1",2,1,0.5252411944041906,0.0013109992762717
LOW,2024-11-19,2024-11-19,"0,2",2,1,0.5318972023022226,0.0025385212803516
NFLX,2023-03-23,2023-03-23,"1,2",2,1,0.5495984210593365,0.0020100898053507
AMD,2023-02-01,2023-02-01,"0,1",2,1,0.5727737948954104,0.0019115278964385
MHK,2023-10-12,2023-10-12,"0,1",2,1,0.5771388301196806,0.0026723502580959
AXP,2024-11-06,2024-11-06,"1,2",2,1,0.5907659805973071,0.0023720312425499
A,2023-04-25,2023-04-25,"0,2",2,1,0.5908894476372968,0.002614643784788
AMD,2024-02-22,2024-02-22,"1,2",2,1,0.5913044132029479,0.0020667970423043
DIS,2024-08-07,2024-08-07,"0,2",2,1,0.6101052242890416,0.0026154045442429
V,2023-09-14,2023-09-14,"0,1",2,1,0.61024479230964,0.0026226471498375
AFL,2024-10-31,2024-10-31,"0,2",2,1,0.6521112304440981,0.0013325267278733
CVS,2024-10-18,2024-10-18,"0,1",2,1,0.6722182773793723,0.0013525448899314
ACN,2023-09-28,2023-09-28,"0,2",2,1,0.676061890743513,0.0016263291370705
APTV,2023-02-14,2023-02-14,"0,1",2,1,0.6764181901665562,0.0024362445025568
JNJ,2024-05-01,2024-05-01,"1,2",2,1,0.6814690750430348,0.0020452410681173
AAPL,2024-05-03,2024-05-03,"1,2",2,1,0.6938279973610114,0.0022288470602385
DE,2023-08-18,2023-08-18,"0,2",2,1,0.6943694608393597,0.0020737377670836
DUK,2024-10-07,2024-10-07,"0,2",2,1,0.6971613280589815,0.0015698100430502
UNH,2024-07-16,2024-07-16,"0,1",2,1,0.7133267576180575,0.0014843004282738
DLTR,2024-08-29,2024-08-29,"0,1",2,1,0.7213266499578947,0.002251869723841
ABT,2024-07-18,2024-07-18,"0,2",2,1,0.7400757125250879,0.0022101245878729
TSLA,2024-04-24,2024-04-24,"0,1",2,1,0.7603309697827894,0.0014723196004827
GE,2024-04-23,2024-04-23,"1,2",2,1,0.7981540572783529,0.0023412331046226
HD,2023-02-21,2023-02-21,"0,1",2,1,0.8370111805118359,0.0026334827288177
GOOGL,2024-07-24,2024-07-24,"1,2",2,1,0.8405690761390749,0.0024119846855076
LOW,2024-06-25,2024-06-25,"0,1",2,1,0.857917217057921,0.002223638400513
UNH,2023-11-30,2023-11-30,"0,2",2,1,0.9314958772073048,0.002451150276344
LW,2024-12-19,2024-12-19,1,1,1,0.00012457377060210513,3.3327373838432095e-07
BLDR,2024-05-07,2024-05-07,1,1,1,0.0002646308136241081,7.079700656239159e-07
DIS,2024-02-08,2024-02-08,1,1,1,0.0006736321955612964,1.80217648567312e-06
TGT,2024-11-20,2024-11-20,1,1,1,0.0006912794340519615,1.84938835953322e-06
ORCL,2024-06-12,2024-06-12,1,1,1,0.001446739108932742,3.870478905554364e-06
APTV,2024-10-31,2024-10-31,1,1,1,0.0015685104560047266,4.196255285851944e-06
MMM,2024-07-26,2024-07-26,1,1,1,0.0016424202273742964,4.393987004884062e-06
AOS,2023-01-31,2023-01-31,1,1,1,0.0016657471627894204,4.4563938416786185e-06
ORCL,2024-09-10,2024-09-10,1,1,1,0.0017451130391855456,4.668722345494795e-06
LW,2024-04-04,2024-04-04,1,1,1,0.0018538196855675485,4.959546571588665e-06
LW,2023-01-05,2023-01-05,1,1,1,0.0018616785168572927,4.980571399452553e-06
NFLX,2023-10-19,2023-10-19,1,1,1,0.0028904340147646907,7.732813617167267e-06
GS,2024-11-06,2024-11-06,1,1,1,0.0029944020209325237,8.010960500900852e-06
EL,2024-10-31,2024-10-31,1,1,1,0.0030771966923540898,8.232462102157678e-06
LULU,2024-12-06,2024-12-06,1,1,1,0.0031538937851176346,8.437650776346237e-06
TGT,2023-11-15,2023-11-15,1,1,1,0.003538965175351199,9.467836995706118e-06
PLTR,2024-02-06,2024-02-06,1,1,1,0.003585299525719019,9.591795852278058e-06
EXPE,2023-11-03,2023-11-03,1,1,1,0.005804344217630261,1.5528433368672268e-05
META,2023-02-02,2023-02-02,1,1,1,0.005985021561966377,1.6011801686876094e-05
ADBE,2024-06-14,2024-06-14,1,1,1,0.00730623625016628,1.9546463568076435e-05
MHK,2024-07-26,2024-07-26,1,1,1,0.009223874881759797,2.467674574972989e-05
CMG,2023-04-26,2023-04-26,1,1,1,0.010146341103860618,2.714463096253894e-05
LULU,2023-06-02,2023-06-02,1,1,1,0.010333419334922475,2.7645123651609534e-05
PLTR,2023-11-02,2023-11-02,1,1,1,0.011037974363410362,2.9530028371974973e-05
PLTR,2023-05-09,2023-05-09,1,1,1,0.012463145973128633,3.3342807482010056e-05
AVGO,2024-12-13,2024-12-13,1,1,1,0.01285871659192297,3.440108241647977e-05
CRM,2023-03-02,2023-03-02,1,1,1,0.012998278897388998,3.4774455166259985e-05
EXPE,2023-08-03,2023-08-03,1,1,1,0.01896168865512718,5.072843852786946e-05
BBY,2024-08-29,2024-08-29,1,1,1,0.019906221864560397,5.3255359822893904e-05
AXP,2023-01-27,2023-01-27,1,1,1,0.026729742701177495,7.151040891686635e-05
MU,2024-03-21,2024-03-21,1,1,1,0.03399462747837996,9.094624438148458e-05
PLTR,2023-02-14,2023-02-14,1,1,1,0.03653102373397105,9.773189643359122e-05
FDX,2024-09-20,2024-09-20,1,1,1,0.04047923442427453,0.0001082945929814
WFC,2024-11-06,2024-11-06,1,1,1,0.04583442659831016,0.0001226214043718
APD,2024-10-07,2024-10-07,1,1,1,0.04962563476356665,0.0001327640701362
TGT,2024-08-21,2024-08-21,1,1,1,0.05352163043519734,0.0001431870752033
LULU,2023-03-29,2023-03-29,1,1,1,0.06097949063147337,0.0001631391801765
ABNB,2024-08-07,2024-08-07,1,1,1,0.07055158334723355,0.000188747517374
GOOGL,2024-08-05,2024-08-05,1,1,1,0.07231348638541246,0.00019346115821
EL,2024-02-05,2024-02-05,1,1,1,0.07605313654262676,0.0002034658902023
APD,2024-07-22,2024-07-22,0,1,1,0.08244074819977695,0.00012497271836
ORCL,2024-03-12,2024-03-12,1,1,1,0.08582607203618627,0.0002296115445498
AAPL,2023-05-05,2023-05-05,2,1,1,0.08869776064667644,0.0002491281197762
HON,2023-04-27,2023-04-27,0,1,1,0.09195369568002866,0.0001393934863926
EL,2024-09-26,2024-09-26,1,1,1,0.09341713106163398,0.0002499199979865
META,2023-04-27,2023-04-27,1,1,1,0.11010872436917717,0.0002945752225519
AMD,2024-08-01,2024-08-01,1,1,1,0.14024113275317188,0.0003751888247582
ISRG,2023-04-19,2023-04-19,1,1,1,0.14247611034413502,0.0003811680877551
