seed,ticker,start,end,days,peak_date,max_score,threshold,score_ratio,under_threshold
0,AOS,2024-10-11,2024-10-11,1,2024-10-11,0.0007294139485176,0.0015159095603688145,0.4811724706981442,0.0007864956118512145
0,BBY,2023-08-22,2023-08-22,1,2023-08-22,0.0007727867006906,0.0015159095603688145,0.5097841724163176,0.0007431228596782145
0,LULU,2023-01-09,2023-01-09,1,2023-01-09,0.0007958538422826,0.0015159095603688145,0.5250008728020503,0.0007200557180862144
0,GOOGL,2024-12-10,2024-12-11,2,2024-12-10,0.0007993797470893,0.0015159095603688145,0.5273268062870546,0.0007165298132795145
0,GOOG,2024-12-10,2024-12-11,2,2024-12-10,0.0008212122949771,0.0015159095603688145,0.5417290822925495,0.0006946972653917144
0,TSLA,2023-10-19,2023-10-19,1,2023-10-19,0.0008225070293216,0.0015159095603688145,0.5425831796466061,0.0006934025310472144
0,CMG,2024-04-25,2024-04-25,1,2024-04-25,0.0008346625918723,0.0015159095603688145,0.5506018391158045,0.0006812469684965145
0,CVS,2023-02-08,2023-02-08,1,2023-02-08,0.0008515329503167,0.0015159095603688145,0.5617307078065564,0.0006643766100521145
0,EL,2024-08-13,2024-08-13,1,2024-08-13,0.000872640362589,0.0015159095603688145,0.5756546336291264,0.0006432691977798145
0,ABBV,2024-04-04,2024-04-04,1,2024-04-04,0.00087629050419,0.0015159095603688145,0.5780625223953348,0.0006396190561788144
0,MO,2024-08-05,2024-08-05,1,2024-08-05,0.0008784431924141,0.0015159095603688145,0.5794825861513654,0.0006374663679547145
0,C,2024-08-02,2024-08-02,1,2024-08-02,0.0008800711137155,0.0015159095603688145,0.5805564769321611,0.0006358384466533145
0,TMO,2024-11-15,2024-11-15,1,2024-11-15,0.0008842469767607,0.0015159095603688145,0.5833111683427648,0.0006316625836081145
0,CLX,2023-10-05,2023-10-05,1,2023-10-05,0.0008850035480766,0.0015159095603688145,0.5838102557129348,0.0006309060122922144
0,DE,2024-02-15,2024-02-15,1,2024-02-15,0.0008920465342574,0.0015159095603688145,0.5884563021295075,0.0006238630261114145
0,MCD,2024-02-05,2024-02-05,1,2024-02-05,0.0008934158984629,0.0015159095603688145,0.5893596305610315,0.0006224936619059144
0,TMUS,2024-10-24,2024-10-24,1,2024-10-24,0.0009055501119446,0.0015159095603688145,0.5973642066907233,0.0006103594484242144
0,DLTR,2024-08-29,2024-08-29,1,2024-08-29,0.0009109572079978,0.0015159095603688145,0.600931105531235,0.0006049523523710145
0,STZ,2023-10-05,2023-10-05,1,2023-10-05,0.0009172699541826,0.0015159095603688145,0.6050954345583994,0.0005986396061862145
0,UNH,2024-01-25,2024-01-25,1,2024-01-25,0.0009793018097601,0.0015159095603688145,0.6460159862847227,0.0005366077506087144
0,CPB,2024-12-04,2024-12-04,1,2024-12-04,0.0009838843830756,0.0015159095603688145,0.6490389722433211,0.0005320251772932144
0,UNH,2024-06-28,2024-06-28,1,2024-06-28,0.000985626814266,0.0015159095603688145,0.6501884017580845,0.0005302827461028145
0,DE,2023-08-18,2023-08-18,1,2023-08-18,0.0009859785573401,0.0015159095603688145,0.6504204360979263,0.0005299310030287144
0,DHR,2024-01-30,2024-01-30,1,2024-01-30,0.0009882568707932,0.0015159095603688145,0.6519233710438248,0.0005276526895756145
0,MHK,2023-11-14,2023-11-14,1,2023-11-14,0.0010120185642639,0.0015159095603688145,0.6675982464400319,0.0005038909961049144
