ticker,start,end,n_missed_seeds,missed_seeds,mean_score_ratio,miss_type_50,miss_type_75,label_return_abs_z3,label_volume_z2,label_volratio_1p5,panel_return_extreme,panel_volume_extreme,panel_gap_extreme,max_abs_z_return,max_volume_z,max_vol_ratio_5_20,max_abs_gap,max_abs_log_return_1d,peak_return_date
PM,2024-04-23,2024-04-23,2,"0,1",0.0783515222686594,hard_miss,hard_or_mid,True,True,False,True,False,False,3.6229441067529615,2.8425675212707087,0.9971036095146242,0.0035083713195417,0.037559198603464,2024-04-23
TSLA,2024-10-24,2024-10-24,2,"1,2",0.0848514528288645,hard_miss,hard_or_mid,True,True,True,True,True,True,5.825738061940528,4.558794600658151,1.5809777166639891,0.1452375364582449,0.1981869914692075,2024-10-24
CVX,2023-01-26,2023-01-26,2,"0,2",0.0889774975959094,hard_miss,hard_or_mid,True,True,False,True,False,True,3.044936151708923,2.1928637898760885,1.2572830422675283,0.0330017886434117,0.0474914038522508,2023-01-26
LLY,2023-08-08,2023-08-08,2,"1,2",0.0979147435469181,hard_miss,hard_or_mid,True,True,True,True,True,True,11.513477644575548,6.696579051275656,1.7508159951894813,0.1143412868325272,0.1386277507162238,2023-08-08
CVX,2023-05-02,2023-05-02,2,"0,2",0.1020929394073038,hard_miss,hard_or_mid,True,False,True,True,False,False,3.1648041515917638,1.095468704321416,1.5081208678900244,0.0114803052245105,0.0440060045793435,2023-05-02
TMUS,2024-03-07,2024-03-07,2,"0,2",0.1744292630146458,hard_miss,hard_or_mid,True,False,True,False,False,False,3.051087751420809,1.0366787860011062,1.5180309534565153,0.0060924486283236,0.0182640032788732,2024-03-07
COF,2024-11-06,2024-11-06,2,"1,2",0.1833414154758701,hard_miss,hard_or_mid,True,True,True,True,True,True,7.371614644854825,4.891021534032165,1.708918031774112,0.1459802119407083,0.1398275160916392,2024-11-06
PM,2024-08-05,2024-08-05,2,"0,1",0.2046205362869468,hard_miss,hard_or_mid,True,True,False,True,False,False,4.680754159544438,2.709672390665035,1.3728415699495349,0.007638806610029,0.0368267462049993,2024-08-05
JPM,2023-10-27,2023-10-27,2,"0,2",0.2154079539733148,hard_miss,hard_or_mid,True,True,False,False,False,False,4.00530595391144,2.449923154767602,1.2859170240346445,0.012858815313147,0.0366834495923453,2023-10-27
ISRG,2023-10-11,2023-10-11,2,"0,1",0.2354832843685344,hard_miss,hard_or_mid,True,True,False,True,False,False,3.130673597137541,2.114078663172796,1.3682918625730398,0.0027868822054104,0.0553606658434526,2023-10-11
ALGN,2023-09-07,2023-09-07,2,"0,1",0.2418855531261055,hard_miss,hard_or_mid,True,True,False,False,False,False,3.3529184344196983,2.117839307077213,1.369592551373461,0.0053827987183969,0.0810147428257844,2023-09-07
INTC,2024-04-03,2024-04-03,2,"0,2",0.2603401020594151,hard_miss,hard_or_mid,True,True,False,False,False,True,3.325479142372967,2.134244685156847,1.4623302446692277,0.0578059002166899,0.0857292383212035,2024-04-03
GE,2024-07-23,2024-07-24,2,"0,1",0.2607020001587105,hard_miss,hard_or_mid,True,True,True,True,True,False,3.407665995319247,3.7311067347838582,1.5720556859906478,0.0199065560399193,0.0580480520301797,2024-07-23
ABT,2023-10-18,2023-10-18,2,"1,2",0.2768486222126319,hard_miss,hard_or_mid,True,True,False,True,True,True,3.3725961624292884,5.011221263194429,1.060362225457465,0.0418928191245589,0.0364451827615522,2023-10-18
PHM,2024-01-23,2024-01-23,2,"0,2",0.2796857850056463,hard_miss,hard_or_mid,True,False,True,False,False,False,3.315070760428356,1.381559730044222,1.6848959260685512,0.0270963531128283,0.0530100228486978,2024-01-23
A,2024-09-26,2024-09-26,2,"0,1",0.2848797381819043,hard_miss,hard_or_mid,True,False,True,True,False,False,3.533499500443823,1.1945199759817584,1.54817446513458,0.0130522209177688,0.0510280003233507,2024-09-26
AVGO,2023-03-03,2023-03-03,2,"0,1",0.2932785325597737,hard_miss,hard_or_mid,True,True,False,False,False,False,3.27734305474656,2.421711031887289,1.11316535486496,0.0318215828451747,0.055414075929623,2023-03-03
ALLE,2023-12-14,2023-12-14,2,"0,1",0.3018353605964129,hard_miss,hard_or_mid,True,True,False,True,False,False,4.42266307843342,2.79938168462422,1.386152771146347,0.0100673715174103,0.0638078644607441,2023-12-14
PG,2024-04-03,2024-04-03,2,"0,2",0.3048538332489149,hard_miss,hard_or_mid,True,False,True,False,False,False,3.6516776613202726,1.3073915650678831,1.6759663157696063,0.0003738296430613,0.0279128095397961,2024-04-03
MO,2024-08-05,2024-08-05,2,"0,2",0.3191001680613952,hard_miss,hard_or_mid,True,False,True,True,False,True,3.9110638946594554,1.5409038344044994,1.6345848811755457,0.0211473909156047,0.034259484350487,2024-08-05
CVS,2023-02-08,2023-02-08,2,"0,1",0.3222407455130568,hard_miss,hard_or_mid,True,True,False,False,False,False,3.212298168564207,2.079361234085966,1.40472616226122,0.0222144973830062,0.0340721443638707,2023-02-08
PG,2024-11-06,2024-11-06,2,"0,2",0.341994694274189,hard_miss,hard_or_mid,True,True,False,True,False,False,3.6810372895969263,2.030811930107672,1.3479195054738853,0.0009049121627457,0.0288260574035159,2024-11-06
MO,2023-02-01,2023-02-01,2,"1,2",0.3498868783341041,hard_miss,hard_or_mid,True,True,False,True,False,True,5.446974942545355,2.4422503860047766,1.4649973776083716,0.0224246021165537,0.0540206025171462,2023-02-01
ABNB,2023-10-03,2023-10-03,2,"0,2",0.3581027921904993,hard_miss,hard_or_mid,True,False,True,False,False,False,3.409599112937737,0.9729921032349462,1.5292887348117936,0.0321470376963308,0.066845373272117,2023-10-03
