seed,ticker,start,end,days,peak_date,max_score,threshold,score_ratio
1,LMT,2023-07-18,2023-07-18,1,2023-07-18,0.0054346777479925,0.0026753122810163144,2.0314180839957645
1,XOM,2023-03-15,2023-03-15,1,2023-03-15,0.0053238755324855,0.0026753122810163144,1.990001530013174
1,XOM,2024-03-15,2024-03-15,1,2024-03-15,0.0052667715693435,0.0026753122810163144,1.968656745874439
1,MA,2023-03-17,2023-03-17,1,2023-03-17,0.0052256074650533,0.0026753122810163144,1.9532700919191996
1,DHR,2023-01-05,2023-01-05,1,2023-01-05,0.0050106552274276,0.0026753122810163144,1.8729234949439701
1,BLK,2023-09-15,2023-09-15,1,2023-09-15,0.0049807659757789,0.0026753122810163144,1.8617512471803013
1,CLX,2024-10-31,2024-10-31,1,2024-10-31,0.0049648337160414,0.0026753122810163144,1.8557959574556013
1,DE,2023-05-19,2023-05-19,1,2023-05-19,0.0049283317329354,0.0026753122810163144,1.842151949103749
1,DIS,2023-02-09,2023-02-09,1,2023-02-09,0.0048920464770937,0.0026753122810163144,1.82858895083279
1,AFL,2024-04-11,2024-04-11,1,2024-04-11,0.0046761916558845,0.0026753122810163144,1.7479049788191752
1,MCD,2023-04-25,2023-04-25,1,2023-04-25,0.004579095786903,0.0026753122810163144,1.7116116946031679
1,MU,2023-06-29,2023-06-29,1,2023-06-29,0.0042122176072249,0.0026753122810163144,1.5744769824122125
1,AAPL,2024-08-05,2024-08-05,1,2024-08-05,0.0042072508743634,0.0026753122810163144,1.5726204765767096
1,MAR,2023-04-26,2023-04-26,1,2023-04-26,0.0041510061006799,0.0026753122810163144,1.5515968472671122
1,STZ,2024-04-11,2024-04-11,1,2024-04-11,0.0041395001884666,0.0026753122810163144,1.5472960737480936
1,PLTR,2023-05-30,2023-05-30,1,2023-05-30,0.0041326415740816,0.0026753122810163144,1.5447324050378397
1,ALGN,2023-10-30,2023-10-30,1,2023-10-30,0.0041161335480865,0.0026753122810163144,1.5385619007149465
1,TSLA,2023-01-30,2023-01-30,1,2023-01-30,0.0040888420005917,0.0026753122810163144,1.528360643953836
1,CVS,2023-03-09,2023-03-09,1,2023-03-09,0.004070036452385,0.0026753122810163144,1.5213313530780972
